Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/module/stroke_predict/load_model/",3760,0,0,3146962313,3146962313.0,3146962313,3146962313,7043352,7043352.0,7043352,7043352,687191404,687191404.0,687191404,687191404,319687900,319687900.0,319687900,319687900
"/module/stroke_predict/load_model/DataParallel::load_state_dict/",727,0,0,15366295,15366295.0,15366295,15366295,1988731,1988731.0,1988731,1988731,7545387,7545387.0,7545387,7545387,0,0.0,0,0
"/module/stroke_predict/load_model/DataParallel::load_state_dict/load/",727,0,0,15366295,15366295.0,15366295,15366295,1988731,1988731.0,1988731,1988731,7545387,7545387.0,7545387,7545387,0,0.0,0,0
"/module/stroke_predict/load_model/DataParallel::load_state_dict/load/BatchNorm2d::_load_from_state_dict/",714,0,0,15038081,15038081.0,15038081,15038081,1954363,1954363.0,1954363,1954363,7388281,7388281.0,7388281,7388281,0,0.0,0,0
"/module/stroke_predict/load_model/DataParallel::load_state_dict/load/Conv2d::_load_from_state_dict/",11,0,0,286505,286505.0,286505,286505,29025,29025.0,29025,29025,136237,136237.0,136237,136237,0,0.0,0,0
"/module/stroke_predict/load_model/DataParallel::load_state_dict/load/Conv2d::_load_from_state_dict/BatchNorm2d::_load_from_state_dict/",10,0,0,228416,228416.0,228416,228416,26145,26145.0,26145,26145,120017,120017.0,120017,120017,0,0.0,0,0
"/module/stroke_predict/load_model/DataParallel::load_state_dict/load/Linear::_load_from_state_dict/",2,0,0,41709,41709.0,41709,41709,5343,5343.0,5343,5343,20869,20869.0,20869,20869,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/",2305,0,0,354776888,354776888.0,354776888,354776888,0,0.0,0,0,354776888,354776888.0,354776888,354776888,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/Linear::__init__/",2,0,0,107549,107549.0,107549,107549,0,0.0,0,0,107549,107549.0,107549,107549,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/Linear::__init__/Linear::reset_parameters/",2,0,0,107549,107549.0,107549,107549,0,0.0,0,0,107549,107549.0,107549,107549,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/Linear::__init__/Linear::reset_parameters/kaiming_uniform_/",1,0,0,103699,103699.0,103699,103699,0,0.0,0,0,103699,103699.0,103699,103699,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/Linear::__init__/Linear::reset_parameters/uniform_/",1,0,0,3850,3850.0,3850,3850,0,0.0,0,0,3850,3850.0,3850,3850,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/Linear::__init__/Linear::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,3850,3850.0,3850,3850,0,0.0,0,0,3850,3850.0,3850,3850,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/",2302,0,0,354473631,354473631.0,354473631,354473631,0,0.0,0,0,354473631,354473631.0,354473631,354473631,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/",2302,0,0,354473631,354473631.0,354473631,354473631,0,0.0,0,0,354473631,354473631.0,354473631,354473631,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/",1453,0,0,95895260,95895260.0,95895260,95895260,0,0.0,0,0,95895260,95895260.0,95895260,95895260,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[2]/",8,0,0,157508,157508.0,157508,157508,0,0.0,0,0,157508,157508.0,157508,157508,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[2]/BatchNorm2d::__init__/",8,0,0,157508,157508.0,157508,157508,0,0.0,0,0,157508,157508.0,157508,157508,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[2]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/",5,0,0,45279,45279.0,45279,45279,0,0.0,0,0,45279,45279.0,45279,45279,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[2]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/BatchNorm2d::reset_running_stats/",3,0,0,38079,38079.0,38079,38079,0,0.0,0,0,38079,38079.0,38079,38079,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[2]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/ones_/",1,0,0,4790,4790.0,4790,4790,0,0.0,0,0,4790,4790.0,4790,4790,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[2]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/ones_/_no_grad_fill_/",1,0,0,4790,4790.0,4790,4790,0,0.0,0,0,4790,4790.0,4790,4790,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[2]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/zeros_/",1,0,0,2410,2410.0,2410,2410,0,0.0,0,0,2410,2410.0,2410,2410,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[2]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/zeros_/_no_grad_zero_/",1,0,0,2410,2410.0,2410,2410,0,0.0,0,0,2410,2410.0,2410,2410,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[5]/",8,0,0,39020,39020.0,39020,39020,0,0.0,0,0,39020,39020.0,39020,39020,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[5]/BatchNorm2d::__init__/",8,0,0,39020,39020.0,39020,39020,0,0.0,0,0,39020,39020.0,39020,39020,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[5]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/",5,0,0,16830,16830.0,16830,16830,0,0.0,0,0,16830,16830.0,16830,16830,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[5]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/BatchNorm2d::reset_running_stats/",3,0,0,9790,9790.0,9790,9790,0,0.0,0,0,9790,9790.0,9790,9790,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[5]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/ones_/",1,0,0,4790,4790.0,4790,4790,0,0.0,0,0,4790,4790.0,4790,4790,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[5]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/ones_/_no_grad_fill_/",1,0,0,4790,4790.0,4790,4790,0,0.0,0,0,4790,4790.0,4790,4790,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[5]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/zeros_/",1,0,0,2250,2250.0,2250,2250,0,0.0,0,0,2250,2250.0,2250,2250,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/BatchNorm2d::__init__[5]/BatchNorm2d::__init__/BatchNorm2d::reset_parameters/zeros_/_no_grad_zero_/",1,0,0,2250,2250.0,2250,2250,0,0.0,0,0,2250,2250.0,2250,2250,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/Conv2d::__init__/",1,0,0,902292,902292.0,902292,902292,0,0.0,0,0,902292,902292.0,902292,902292,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/Conv2d::__init__/Conv2d::reset_parameters/",1,0,0,902292,902292.0,902292,902292,0,0.0,0,0,902292,902292.0,902292,902292,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/Conv2d::__init__/Conv2d::reset_parameters/kaiming_uniform_/",1,0,0,902292,902292.0,902292,902292,0,0.0,0,0,902292,902292.0,902292,902292,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/Linear::__init__[6]/",2,0,0,7088836,7088836.0,7088836,7088836,0,0.0,0,0,7088836,7088836.0,7088836,7088836,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/Linear::__init__[6]/Linear::reset_parameters/",2,0,0,7088836,7088836.0,7088836,7088836,0,0.0,0,0,7088836,7088836.0,7088836,7088836,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/Linear::__init__[6]/Linear::reset_parameters/kaiming_uniform_/",1,0,0,7078026,7078026.0,7078026,7078026,0,0.0,0,0,7078026,7078026.0,7078026,7078026,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/Linear::__init__[6]/Linear::reset_parameters/uniform_/",1,0,0,10810,10810.0,10810,10810,0,0.0,0,0,10810,10810.0,10810,10810,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/Linear::__init__[6]/Linear::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,10810,10810.0,10810,10810,0,0.0,0,0,10810,10810.0,10810,10810,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/_DenseBlock::__init__[3]/",1044,0,0,47572299,47572299.0,47572299,47572299,0,0.0,0,0,47572299,47572299.0,47572299,47572299,0,0.0,0,0
"/module/stroke_predict/load_model/densenet121_stroke::__init__/densenet121/_densenet/DenseNet::__init__/_DenseBlock::__init__[3]/_DenseLayer::__init__/",1044,0,0,47572299,47572299.0,47572299,47572299,0,0.0,0,0,47572299,47572299.0,47572299,47572299,0,0.0,0,0
